Employee ID,Name,Base Salary,HRA,Bonus,Deductions,Income Tax
1,Jennifer Montes,46365.93,9273.19,9673.26,2847.57,6246.48
2,Gina Anderson,113077.97,22615.59,9933.14,4711.02,14091.57
3,Kimberly Mayo,99217.47,19843.49,7582.97,3389.01,12325.49
4,Dan Barton,33214.36,6642.87,2638.21,1873.46,4062.2
5,Jeffrey Adams,37908.95,7581.79,5818.84,2373.7,4893.59
6,Michael Combs,94067.88,18813.58,4822.38,2100.99,11560.29
7,Joshua Powell,60750.39,12150.08,6812.46,2885.24,7682.77
8,Alex Johnson,90071.72,18014.34,4173.62,3913.25,10834.64
9,Cory Davis,97617.82,19523.56,7684.04,2725.86,12209.96
10,Amy Pearson,117604.95,23520.99,7541.77,2958.19,14570.95
11,Stephen Peck,68020.78,13604.16,4220.03,4593.78,8125.12
12,Kenneth Cross,67956.58,13591.32,4245.56,4928.18,8086.53
13,Dr. Rhonda Reyes,90359.45,18071.89,6327.27,4741.35,11001.73
14,Brittany Erickson,39596.24,7919.25,9709.0,4970.87,5225.36
15,Joseph Bradley,65281.47,13056.29,8474.99,3223.56,8358.92
16,John Serrano,104679.72,20935.94,3986.22,3417.97,12618.39
17,Victoria Evans,38152.01,7630.4,3746.81,4881.76,4464.75
18,Amanda Salas,116956.53,23391.31,5494.6,4179.16,14166.33
19,Carolyn Perez,74738.06,14947.61,6691.83,2111.16,9426.63
20,Zachary Savage,47067.0,9413.4,2218.88,1240.22,5745.91
21,Christy Pena,83569.16,16713.83,2974.73,2762.24,10049.55
22,Teresa Cooke,105721.86,21144.37,3727.97,3035.78,12755.84
23,Joseph Harmon,90532.53,18106.51,9030.98,3659.03,11401.1
24,Alexa Richard,84700.96,16940.19,2224.28,4109.56,9975.59
25,Catherine Harris,72076.14,14415.23,9552.46,3871.73,9217.21
26,Laura Lopez,57991.91,11598.38,9978.84,1708.08,7786.11
27,Steven Keller,38832.15,7766.43,5872.56,1221.08,5125.01
28,Julie Morton,112453.71,22490.74,7505.18,2100.45,14034.92
29,Thomas Brown,111746.59,22349.32,4650.0,4273.67,13447.22
30,Miss Anna Frederick MD,30222.18,6044.44,5697.6,4655.93,3730.83
31,Johnathan Sherman,72504.53,14500.91,4824.35,2656.08,8917.37
32,Timothy Shields,44289.14,8857.83,5653.9,1220.59,5758.03
33,Michael Lee,46440.72,9288.14,7806.43,3757.05,5977.82
34,Sarah Scott,84573.0,16914.6,2277.92,4033.6,9973.19
35,Mark Mcdonald,80161.11,16032.22,3038.65,1273.0,9795.9
36,Karen Mitchell,70155.77,14031.15,6632.62,4957.08,8586.25
37,John Mann,65072.97,13014.59,4712.73,1442.09,8135.82
38,Krystal Schmidt,101326.34,20265.27,3936.5,4857.51,12067.06
39,Gloria Clark,56577.91,11315.58,3123.79,4066.37,6695.09
40,Alice House,87446.45,17489.29,9531.71,4337.47,11013.0
41,Samuel Martinez,93690.5,18738.1,3488.58,3670.04,11224.71
42,Kayla Thomas,59071.29,11814.26,3273.33,1478.65,7268.02
43,Darrell Anderson,45180.11,9036.02,3965.59,3553.58,5462.81
44,Ronald Henderson,88098.42,17619.68,6864.01,3360.93,10922.12
45,Ralph Chavez,105802.22,21160.44,7880.59,3813.37,13102.99
46,Kathleen Martinez,84675.54,16935.11,6357.5,4844.81,10312.33
47,Jeffrey Chapman,72491.94,14498.39,5336.2,1700.53,9062.6
48,Heather Gillespie,54298.26,10859.65,7354.01,3272.19,6923.97
49,Annette Carpenter,82360.58,16472.12,6482.33,4985.76,10032.93
50,Stephen Contreras,109392.68,21878.54,7480.62,1116.94,13763.49
51,Gabriel Chambers,103864.11,20772.82,5108.73,3918.25,12582.74
52,Renee Williams,100695.41,20139.08,6306.41,1358.33,12578.26
53,Michael Maynard,51426.5,10285.3,9070.15,1964.85,6881.71
54,Julie Jackson,66619.12,13323.82,8498.12,3574.12,8486.69
55,Donald Gray,62847.19,12569.44,4107.91,3499.15,7602.54
56,Kirsten Williams,97954.38,19590.88,8994.2,1471.54,12506.79
57,Douglas Carlson DDS,82642.04,16528.41,8283.3,1537.35,10591.64
58,Carol Moore,83775.59,16755.12,6741.31,2317.29,10495.47
59,Edwin Lee,49339.0,9867.8,8958.44,4763.0,6340.22
60,Mindy Lee,34816.82,6963.36,5196.32,1609.59,4536.69
61,Kristen Bentley,42690.46,8538.09,6363.28,4061.34,5353.05
62,Robert Reyes,38016.55,7603.31,9758.61,4930.51,5044.8
63,Mrs. Dana Evans,104434.51,20886.9,9224.55,3815.3,13073.07
64,Joseph Lee,70663.98,14132.8,2093.18,1655.9,8523.41
65,Christina Pruitt,36941.53,7388.31,3302.19,1595.61,4603.64
66,Jill Cline,105142.82,21028.56,6827.1,2906.61,13009.19
67,Reginald Smith,61293.38,12258.68,7968.99,3026.76,7849.43
68,Amber Ramos,103221.28,20644.26,8114.23,1595.74,13038.4
69,Kari Little,86770.79,17354.16,8901.83,2863.68,11016.31
70,Mrs. Tiffany Woodward,63040.06,12608.01,9781.74,3432.55,8199.73
71,Amanda Ellis,92916.41,18583.28,6066.92,2473.03,11509.36
72,Robert Jones,106009.27,21201.85,6188.43,1554.6,13184.49
73,Lori Montoya,55913.98,11182.8,5152.74,4433.97,6781.56
74,Jesse White,94275.2,18855.04,5679.4,3192.76,11561.69
75,Gregory Vega,79295.8,15859.16,5842.0,2803.43,9819.35
76,Brandon Parker MD,84614.7,16922.94,2328.46,1999.9,10186.62
77,Scott Morgan,102658.13,20531.63,3860.4,4979.46,12207.07
78,Kimberly Owens,69048.63,13809.73,6054.01,2846.08,8606.63
79,Stephanie Wilson,72691.51,14538.3,4234.93,2203.17,8926.16
80,Patricia Smith,64829.76,12965.95,6589.89,2061.28,8232.43
81,Robert Ayala,113400.7,22680.14,9195.5,2626.2,14265.01
82,Steven Bullock,87261.6,17452.32,5602.14,2922.87,10739.32
83,Tom Nelson,64072.06,12814.41,4611.79,1527.09,7997.12
84,Nancy Higgins,70699.14,14139.83,8832.95,2814.1,9085.78
85,Michele Webb,55778.7,11155.74,3260.25,1388.19,6880.65
86,Jason Clements,39263.73,7852.75,6263.49,3783.71,4959.63
87,Andrew Davis,57503.54,11500.71,9387.64,1836.78,7655.51
88,Adam Webb,109412.19,21882.44,6825.34,4529.9,13359.01
89,Pedro Lee,114975.13,22995.03,6877.89,1444.39,14340.37
90,Joshua Mckinney,91368.19,18273.64,2355.4,1618.38,11037.89
91,Deborah Martin MD,94929.26,18985.85,8415.35,1609.66,12072.08
92,John Cooper,116566.09,23313.22,5525.25,3710.22,14169.43
93,Austin White,85903.7,17180.74,4758.48,1549.0,10629.39
94,Austin Henderson,110212.16,22042.43,3638.82,3354.6,13253.88
95,Dr. Benjamin Barker,108283.24,21656.65,9581.23,1348.95,13817.22
96,Eric Harvey,74909.11,14981.82,4718.02,3795.93,9081.3
97,Carlos Baxter,77173.42,15434.68,4825.21,3786.6,9364.67
98,Jay Castillo,50665.63,10133.13,3859.85,4061.03,6059.76
99,Ashley Schneider,72184.88,14436.98,7428.41,2684.53,9136.57
100,Mr. Cody Harrington,45706.52,9141.3,4412.26,4433.74,5482.63
101,Teresa Cook,116640.94,23328.19,2322.88,2121.35,14017.07
102,Janice Bernard,106763.33,21352.67,7973.99,2221.58,13386.84
103,Joseph Russo Jr.,92212.68,18442.54,6509.38,2572.28,11459.23
104,Shelley Gutierrez,87979.93,17595.99,5514.82,3355.98,10773.48
105,Susan Allen,44196.29,8839.26,9191.86,1570.95,6065.65
106,Amanda Johnson MD,118054.85,23610.97,2601.81,3189.35,14107.83
107,David Chambers,47723.19,9544.64,9414.01,1186.43,6549.54
108,Scott Joseph,63455.12,12691.02,9715.12,1883.87,8397.74
109,Adam Smith,68008.58,13601.72,5428.32,4902.93,8213.57
110,Albert Davis,58306.79,11661.36,5652.82,4871.57,7074.94
111,Jesus Davis,62247.06,12449.41,4079.79,2484.55,7629.17
112,Janice Lewis,91960.68,18392.14,7411.73,4554.96,11320.96
